strain	reference_strain	isotype	previous_names	warning_message	sequenced	source_lab	release	latitude	longitude	elevation	landscape	substrate	photo	isolated_by	sampled_by	isolation_date	isolation_date_comment	notes	city
JU1230	False	JU1242	7.1.1		False	JU	20160408	49.1269000	1.9595000	88.0359	Rural garden	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2007-10-14	None	Isolated from a rotting apple (#7) collected in Santeuil, Viosne valley, Val d’Oise, on 14 Oct 07 ((same 'wild-growing' apple tree in hedge as apple #6, which has been removed as of 2009). Adult stage on 15 Oct. Not bleached.	Marines
JU1242	True	JU1242	F2		False	JU	20160408	49.1269000	1.9595000	88.0359	Rural garden	Slug	None	M.-A. Félix	M.-A. Félix	2007-10-14	None	Isolated from a small black slug (Deroceras?) collected in Santeuil, Viosne valley, Val d’Oise, on 14 Oct 07 below the apple tree with apples #6&7. Not bleached.	Marines
JU1243	False	JU1242	D2		False	JU	20160408	49.1269000	1.9595000	88.0359	Rural garden	Slug	None	M.-A. Félix	M.-A. Félix	2007-10-14	None	Isolated from a small beige slug (Deroceras?) (same individual as JU1243, JU1244) collected in Santeuil, Viosne valley, Val d’Oise, on 14 Oct 07 below the apple tree with apples #6&7. Young adult on 17 Oct. Bleached. Keep at 15°C.	Marines
JU1246	True	JU1246	14.1.1		False	JU	20160408	49.1261800	1.9615200	89.8152	Agricultural land	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2007-10-14	None	Isolated from a rotting apple (#14) collected above Santeuil, Viosne valley, Val d’Oise, on 14 Oct 07. Egl adult on 15 Oct. Bleached.	Marines
JU1395	True	JU1395	E121		False	JU	20160408	47.2199000	0.0461900	37.2968	Agricultural land	Compost	None	M.-A. Félix	M.-A. Félix	2008-03-01	None	Isolated from shiitake mushroom compost remains outside the mushroom farm “Le Saut-aux-Loups”, Montsoreau (49), France, sampled 1/3/2008. Not independent from JU1394.	Montsoreau
ECA589	False	JU1395	E121		False	JU	20160408	47.2199000	0.0461900	37.2968	Agricultural land	Compost	None	M.-A. Félix	M.-A. Félix	2008-03-01	None	Isolated from shiitake mushroom compost remains outside the mushroom farm “Le Saut-aux-Loups”, Montsoreau (49), France, sampled 1/3/2008. Not independent from JU1394.	Montsoreau
JU1400	True	JU1400	E2.9.1		False	JU	20160408	37.3845000	-5.9880000	7.72783	Rural garden	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2008-03-29	None	Isolated from rotting orange fruits, Garden Catalina de Ribera, Sevilla, Spain sampled on 29 Mar 08 by MAF. Not bleached.	Sevilla
JU1401	False	JU1409	E6.4.1		False	JU	20160408	37.4721000	-5.6331000	243.674	Rural garden	Snail	None	M.-A. Félix	M.-A. Félix	2008-03-31	None	Isolated from Rumina decollata snail #4, sampled in front of the Parador of Carmona, Spain on 31 Mar 08 by MAF. Plated 3 Apr 08. Isolated as adult on 9 Apr 08.	Carmona
JU1409	True	JU1409	E7.6.1		False	JU	20160408	37.4680000	-5.6370000	202.849	Rural garden	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2008-03-31	None	Isolated from rotting Opuntia ficus-indica cactus fruit, sampled next to the road below the Parador of Carmona, Spain on 31 Mar 08 by MAF (approx. 400 m from JU1400-8). Plated 3 Apr 08. Isolated as adult on 4 Apr 08 (large population). Not bleached, conta	Carmona
JU1410	False	JU1409	E7.51.1		False	JU	20160408	37.4680000	-5.6370000	202.849	Rural garden	Snail	None	M.-A. Félix	M.-A. Félix	2008-03-31	None	Isolated from retracted snail #51 fixed on Opuntia ficus-indica cactus, sampled on the road below the Parador of Carmona, Spain on 31 Mar 08 by MAF). Plated 3 Apr 08. Isolated as adult on 7 Apr 08. Not bleached.	Carmona
JU1411	False	JU1409	E7.55.1		False	JU	20160408	37.4680000	-5.6370000	202.849	Rural garden	Snail	None	M.-A. Félix	M.-A. Félix	2008-03-31	None	Isolated from snail #55 in Opuntia ficus-indica cactus, sampled on the road below the Parador of Carmona, Spain on 31 Mar 08 by MAF. Plated 3 Apr 08. Isolated as adult on 5 Apr 08 (on plate where washed, live snail was placed on day 1). Bleached.	Carmona
JU1440	True	JU1440	B7.2.1		False	JU	20160408	41.4130700	2.1523100	136.845	Urban garden	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2008-06-09	None	Isolated from rotting palm fruit sampled by MAF on 9 June 2008 in the Park Guëll, Barcelona, Spain. Picked as young adult on 11 June 2008.	Barcelona
JU3133	False	JU1440			False	JU	20170531	48.7015000	2.1725000	65.7882	Rural garden	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2011-11-08		None	Saclay
JU1484	False	JU1491	B10S1		False	JU	20160408	46.6300000	1.0600000	95.5796	Forest	Rotting stem	None	M.-A. Félix	M.-A. Félix	2008-08-17	None	Isolated from rotting Arum maculata stems sampled on 17 Aug 2008 by MAF in woods near Le Blanc (Indre, France). Plated on 18 Aug, picked as a L2 larva on 18 Aug.	Le Blanc
JU1491	True	JU1491	B10S8		False	JU	20160408	46.6300000	1.0600000	95.5796	Forest	Rotting stem	None	M.-A. Félix	M.-A. Félix	2008-08-17	None	Isolated from rotting Arum maculata stems sampled on 17 Aug 2008 by MAF in woods near Le Blanc (Indre, France). Plated on 18 Aug, picked as a L4 larva on 18 Aug.	Le Blanc
JU1530	True	JU1530	O21.1.1		False	JU	20160408	48.7015000	2.1725000	65.7882	Rural garden	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2008-09-09	None	Isolated from a rotting apple O21 (tree “Wealthy”, like O20), sampled in the Orsay orchard on 9 Sep 2008 ca. 14:00, plated ca. 18:00, picked as adult ca. 20:00.	Orsay
JU1543	True	JU1543	O28.1.1		False	JU	20170531	48.7015000	2.1725000	65.7882	Rural garden	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2008-09-08	None	None	Saclay
