strain	reference_strain	isotype	previous_names	warning_message	sequenced	source_lab	release	latitude	longitude	elevation	landscape	substrate	photo	isolated_by	sampled_by	isolation_date	isolation_date_comment	notes	city
JU406	True	JU406	compost4		False	JU	20160408	49.2800000	-0.3200000	15.897	Rural garden	Compost	None	A. Barrière	A. Barrière	2002-12-30	None	Hermanville (Calvados), France - compost pile - isolated 30 Dec 02.	Hermanville-sur-Mer
JU407	False	JU406	compost5		False	JU	20160408	49.2800000	-0.3200000	15.897	Rural garden	Compost	None	A. Barrière	A. Barriere	2002-12-30	None	Hermanville (Calvados), France - compost pile - isolated 30 Dec 02.	Hermanville-sur-Mer
JU440	True	JU440	None		False	JU	20160408	48.7150000	1.5600000	133.237	Rural garden	Compost	None	M.-A. Félix	D. Baïlle	2003-09-12	None	From Beauchêne (Eure & Loir -France) in the compost pile, 12 Sep 03.	Boutigny-Prouais
JU561	True	JU561	P9cl1		False	JU	20160408	48.7100000	-3.8100000	28.2333	Rural garden	Isopod	None	M.-A. Félix	M.-A. Félix	2004-10-03	None	Isolated from a sowbug found in the tube of compost from Hent ar Rhun, Finistère, France, on 3 Oct O4. Picked on 4 Oct 04.	Plougasnou
JU563	False	JU561	P9A7		False	JU	20160408	48.7069000	-3.8037000	65.9725	Rural garden	Compost	None	M.-A. Félix	M.-A. Félix	2004-10-03	None	Isolated on the street Hent ar Rhun	Plougasnou
JU642	True	JU642	None		False	JU	20160408	48.8400000	2.5000000	47.4053	Urban garden	Compost	None	M.-A. Félix	J.-A. Lepesant	2004-12-14	None	None	Le Perreux-sur-Marne
JU751	True	JU751	JA VI 2.1		False	JU	20160408	48.8400000	2.5000000	47.4053	Urban garden	Compost	None	M.-A. Félix	J.-A. Lepesant	2005-06-08	None	None	Le Perreux-sur-Marne
JU774	True	JU774	P6P2		False	JU	20160408	38.6830000	-9.3400000	16.0992	Urban garden	Compost	None	M.-A. Félix	M.-A. Félix	2005-07-10	None	None	Carcavelos
JU775	True	JU775	P8D1		False	JU	20160408	38.7175000	-9.1486000	65.9672	Botanical garden zoo	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2005-07-10	None	Isolated in the Botanical Garden, Lisbon, Portugal	Lisbon
JU799	False	JU775	P8L3		False	JU	20160408	38.7175000	-9.1486000	65.9672	Botanical garden zoo	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2005-07-10	None	Isolated in the Botanical Garden, Lisbon, Portugal	Lisbon
JU778	True	JU778	P12B4		False	JU	20160408	38.7190000	-9.1491000	61.5099	Botanical garden zoo	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2005-07-10	None	Isolated in the Botanical Garden, Lisbon, Portugal	Lisbon
JU782	True	JU782	P14D1		False	JU	20160408	38.7191000	-9.1503000	76.6929	Botanical garden zoo	Compost	None	M.-A. Félix	M.-A. Félix	2005-07-10	None	Isolated in the Botanical Garden, Lisbon, Portugal	Lisbon
JU395	False	JU792	HC2.3		False	JU	20160408	49.2800000	-0.3200000	15.897	Rural garden	Compost	None	A. Barrière	A. Barrière	2002-09-01	Only month/year (Sep. 2002) known	Hermanville (Calvados), France - compost pile, Sep 02.	Hermanville-sur-Mer
JU396	False	JU792	HC2.4		False	JU	20160408	49.2800000	-0.3200000	15.897	Rural garden	Compost	None	A. Barrière	A. Barrière	2002-09-01	Only month/year (Sep. 2002) known	Hermanville (Calvados), France - compost pile, Sep 02.	Hermanville-sur-Mer
JU622	False	JU792	Pyr2.1		False	JU	20160408	43.0600000	0.2400000	475.94	Rural garden	Leaf litter	None	M.-A. Félix	F. Back	2004-10-16	None	Some sterility	Frechendets
JU792	True	JU792	F2A1		False	JU	20160408	43.0600000	0.2400000	475.94	Rural garden	Compost	None	M.-A. Félix	M.-A. Félix	2005-08-31	None	None	Fréchendets
JU2460	False	JU792	Callot 1.1		False	JU	20170531	48.6934000	-3.9251000	11.1246	Agricultural land	Rotting plant	None	M.-A. Félix	M.-A. Félix	2012-12-28	None	Isolated from rotting cabbage leaves sampled in a field on Ile Callot (Finistère, France; 48.6934, -3.9251) on 28 Dec 2012 by MAF.	Carantec
JU2527	False	JU792	Ap4		False	JU	20170531	47.8797000	-3.5999000	72.3279	None	Rotting fruit	None	L. Frézal	F. Besnard	2013-08-19	None	None	Tréméven
JU3142	False	JU792			False	JU	20170531	48.7100000	-3.8100000	28.2333	Rural garden	Rotting stem	None	M.-A. Félix	M.-A. Félix	2009-08-09		None	Saint-Jean-du-Doigt
JU829	False	JU830	T2A1		False	JU	20160408	48.5200000	9.0500000	351.531	Urban garden	Compost	None	M.-A. Félix	R. Hong	2005-09-28	None	None	Tübingen
JU830	True	JU830	T2A2		False	JU	20160408	48.5200000	9.0500000	351.531	Urban garden	Compost	None	M.-A. Félix	R. Hong	2005-09-28	None	None	Tübingen
JU847	True	JU847	O6A1		False	JU	20160408	48.4600000	7.4610000	222.927	Agricultural land	Compost	None	M.-A. Félix	M.-A. Félix	2005-10-03	None	Plated 4 Oct, picked as adult on 4 Oct .	Obernai
JU848	False	JU847	O6A5		False	JU	20160408	48.4600000	7.4610000	222.927	Agricultural land	Compost	None	M.-A. Félix	M.-A. Félix	2005-10-03	None	Plated 4 Oct, picked as adult on 6 Oct .	Obernai
KR314	True	KR314	None		False	CGC	20160408	49.2800000	-123.1300000	41.8071	Urban garden	Rotting fruit	None	F. Dill	F. Dill	1984-05-01	None	None	Vancouver
LKC34	True	LKC34	None		False	CGC	20160408	-18.0000000	46.0000000	686.293	None	Rotting nut	None	V. Stowell	V. Stowell	2005-06-17	None	None	
LSJ1	True	LSJ1	N2		False	CGC	20160408	51.4500000	-2.5900000	12.5067	Urban garden	Compost	None	W. Nicholas	W. Nicholas	1951-01-01	only year (1951) is known	Clonally related to N2, Maintained by E.C. Dougherty in axenic media until frozen in 1969	Bristol
MY1	True	MY1	None		False	MY	20160408	52.5400000	7.3100000	35.6841	Urban garden	Compost	None	H. Schulenburg	H. Schulenburg	2002-07-01	None	None	Lingen (Ems)
MY10	True	MY10	None		False	CGC	20160408	51.9600000	7.5300000	74.2318	Urban garden	Compost	None	H. Schulenburg	H. Schulenburg	2002-07-01	None	None	Münster
MY11	False	MY10	None		False	CGC	20160408	51.9600000	7.5300000	74.2318	Urban garden	Compost	None	H. Schulenburg	H. Schulenburg	2002-07-01	None	None	Münster
MY12	False	MY10	None		False	CGC	20160408	51.9600000	7.5300000	74.2318	Urban garden	Compost	None	H. Schulenburg	H. Schulenburg	2002-07-01	None	None	Münster
MY13	False	MY10	None		False	CGC	20160408	51.9600000	7.5300000	74.2318	Urban garden	Compost	None	H. Schulenburg	H. Schulenburg	2002-07-01	None	None	Münster
MY17	False	MY10	None		False	CGC	20160408	51.9600000	7.5300000	74.2318	Urban garden	Compost	None	H. Schulenburg	H. Schulenburg	2002-07-01	None	None	Münster
MY19	False	MY10	None		False	CGC	20160408	51.9600000	7.5300000	74.2318	Urban garden	Compost	None	H. Schulenburg	H. Schulenburg	2002-07-01	None	None	Münster
MY20	False	MY10	None		False	CGC	20160408	51.9600000	7.5300000	74.2318	Urban garden	Compost	None	H. Schulenburg	H. Schulenburg	2002-07-01	None	None	Münster
MY21	False	MY10	None		False	CGC	20160408	51.9600000	7.5300000	74.2318	Urban garden	Compost	None	H. Schulenburg	H. Schulenburg	2002-07-01	None	None	Münster
MY22	False	MY10	None		False	CGC	20160408	51.9600000	7.5300000	74.2318	Urban garden	Compost	None	H. Schulenburg	H. Schulenburg	2002-07-01	None	None	Münster
MY3	False	MY10	None		False	CGC	20160408	51.9600000	7.5300000	74.2318	Urban garden	Compost	None	H. Schulenburg	H. Schulenburg	2002-07-01	None	None	Münster
MY4	False	MY10	None		False	CGC	20160408	51.9600000	7.5300000	74.2318	Urban garden	Compost	None	H. Schulenburg	H. Schulenburg	2002-07-01	None	None	Münster
MY5	False	MY10	None		False	CGC	20160408	51.9600000	7.5300000	74.2318	Urban garden	Compost	None	H. Schulenburg	H. Schulenburg	2002-07-01	None	None	Münster
MY7	False	MY10	None		False	CGC	20160408	51.9600000	7.5300000	74.2318	Urban garden	Compost	None	H. Schulenburg	H. Schulenburg	2002-07-01	None	None	Münster
MY8	False	MY10	None		False	CGC	20160408	51.9600000	7.5300000	74.2318	Urban garden	Compost	None	H. Schulenburg	H. Schulenburg	2002-07-01	None	None	Münster
MY9	False	MY10	None		False	CGC	20160408	51.9600000	7.5300000	74.2318	Urban garden	Compost	None	H. Schulenburg	H. Schulenburg	2002-07-01	None	None	Münster
MY16	True	MY16	None		False	CGC	20160408	51.9300000	7.5700000	60.9205	Urban garden	Compost	None	H. Schulenburg	H. Schulenburg	2002-07-01	None	None	Münster
MY18	True	MY18	None		False	CGC	20160408	51.9600000	7.5300000	74.2318	Urban garden	Compost	None	H. Schulenburg	H. Schulenburg	2002-07-01	None	None	Münster
MY6	False	MY18	None		False	CGC	20160408	51.9600000	7.5300000	74.2318	Urban garden	Compost	None	H. Schulenburg	H. Schulenburg	2002-07-01	None	None	Münster
MY2143	False	MY2147	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Compost	None	C. Petersen	C. Petersen	2012-09-17	None	None	Kiel
MY2147	True	MY2147	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Compost	None	C. Petersen	C. Petersen	2012-09-17	None	None	Kiel
MY2212	True	MY2212	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Isopod	None	C. Petersen	C. Petersen	2012-09-26	None	None	Kiel
JU1171	False	MY23	C1.2.1		False	JU	20160408	-36.8200000	-72.9900000	21.3159	None	Compost	None	M.-A. Félix	M.-A. Félix	2007-04-01	only month/year (April 2007) is known	Isolated from a compost sample collected in April 2007 in Concepcion, Chile, in the Palomares area, 2 km NE of the town.	Concepción
MY14	False	MY23	None		False	CGC	20160408	51.9600000	7.5300000	74.2318	Urban garden	Compost	None	H. Schulenburg	H. Schulenburg	2002-07-01	None	None	Münster
MY15	False	MY23	None		False	CGC	20160408	51.9300000	7.5700000	60.9205	Urban garden	Compost	None	H. Schulenburg	H. Schulenburg	2002-07-01	None	None	Münster
MY2	False	MY23	None		False	CGC	20160408	51.9600000	7.5300000	74.2318	Urban garden	Compost	None	H. Schulenburg	H. Schulenburg	2002-07-01	None	None	Münster
MY23	True	MY23	None		False	CGC	20160408	51.9600000	7.5300000	74.2318	Urban garden	Compost	None	H. Schulenburg	H. Schulenburg	2002-07-01	None	None	Münster
BRC20231	False	MY23	None		False	BRC	20170531	23.5415170	120.9081120	1550.66	None	Rotting flower	None	None	Volans	2014-06-15	None	None	
MY2004	False	MY2453	None		False	MY	20170531	51.9507770	7.5366280	70.8743	Rural garden	Compost	None	C. Petersen	C. Petersen	2012-06-20	None	None	Münster
MY2011	False	MY2453	None		False	MY	20170531	51.9507770	7.5366280	70.8743	Rural garden	Compost	None	C. Petersen	C. Petersen	2012-07-04	None	None	Münster
MY2014	False	MY2453	None		False	MY	20170531	51.9507770	7.5366280	70.8743	Rural garden	Slug	None	C. Petersen	C. Petersen	2012-07-04	None	None	Münster
MY2050	False	MY2453	None		False	MY	20170531	51.9507770	7.5366280	70.8743	Rural garden	Compost	None	C. Petersen	C. Petersen	2012-07-18	None	None	Münster
MY2051	False	MY2453	None		False	MY	20170531	51.9507770	7.5366280	70.8743	Rural garden	Compost	None	C. Petersen	C. Petersen	2012-07-18	None	None	Münster
MY2054	False	MY2453	None		False	MY	20170531	51.9507770	7.5366280	70.8743	Rural garden	Isopod	None	C. Petersen	C. Petersen	2012-07-18	None	None	Münster
MY2121	False	MY2453	None		False	MY	20170531	51.9507770	7.5366280	70.8743	Rural garden	Compost	None	C. Petersen	C. Petersen	2012-08-15	None	None	Münster
MY2137	False	MY2453	None		False	MY	20170531	51.9507770	7.5366280	70.8743	Rural garden	Compost	None	C. Petersen	C. Petersen	2012-09-17	None	None	Münster
MY2199	False	MY2453	None		False	MY	20170531	51.9507770	7.5366280	70.8743	Rural garden	Compost	None	C. Petersen	C. Petersen	2012-09-26	None	None	Münster
MY2288	False	MY2453	None		False	MY	20170531	51.9507770	7.5366280	70.8743	Rural garden	Compost	None	C. Petersen	C. Petersen	2012-10-10	None	None	Münster
MY2339	False	MY2453	None		False	MY	20170531	51.9507770	7.5366280	70.8743	Rural garden	Compost	None	C. Petersen	C. Petersen	2012-10-24	None	None	Münster
MY2453	True	MY2453	None		False	MY	20170531	51.9507770	7.5366280	70.8743	Rural garden	Compost	None	C. Petersen	C. Petersen	2012-11-07	None	None	Münster
MY2502	False	MY2453	None		False	MY	20170531	51.9507770	7.5366280	70.8743	Rural garden	Compost	None	C. Petersen	C. Petersen	2012-11-21	None	None	Münster
MY2541	False	MY2453	None		False	MY	20170531	51.9507770	7.5366280	70.8743	Rural garden	Compost	None	C. Petersen	C. Petersen	2012-12-05	None	None	Münster
MY2579	False	MY2453	None		False	MY	20170531	51.9507770	7.5366280	70.8743	Rural garden	Compost	None	C. Petersen	C. Petersen	2012-12-10	None	None	Münster
MY524	False	MY2453	None		False	MY	20170531	51.9507770	7.5366280	70.8743	Rural garden	Compost	None	C. Petersen	C. Petersen	2011-11-28	None	None	Münster
MY561	False	MY2453	None		False	MY	20170531	51.9507770	7.5366280	70.8743	Rural garden	Compost	None	C. Petersen	C. Petersen	2011-09-08	None	None	Münster
MY564	False	MY2453	None		False	MY	20170531	51.9507770	7.5366280	70.8743	Rural garden	Compost	None	C. Petersen	C. Petersen	2011-09-08	None	None	Münster
MY570	False	MY2453	None		False	MY	20170531	51.9507770	7.5366280	70.8743	Rural garden	Slug	None	C. Petersen	C. Petersen	2011-09-08	None	None	Münster
MY713	False	MY2453	None		False	MY	20170531	51.9507770	7.5366280	70.8743	Rural garden	Compost	None	C. Petersen	C. Petersen	2011-10-12	None	None	Münster
MY792	False	MY2453	None		False	MY	20170531	51.9507770	7.5366280	70.8743	Rural garden	Compost	None	C. Petersen	C. Petersen	2011-10-24	None	None	Münster
MY819	False	MY2453	None		False	MY	20170531	51.9507770	7.5366280	70.8743	Rural garden	Compost	None	C. Petersen	C. Petersen	2011-11-02	None	None	Münster
MY864	False	MY2453	None		False	MY	20170531	51.9507230	7.5990990	64.6864	Rural garden	Compost	None	C. Petersen	C. Petersen	2011-11-14	None	None	Münster
MY965	False	MY2453	None		False	MY	20170531	51.9507770	7.5366280	70.8743	Rural garden	Compost	None	C. Petersen	C. Petersen	2012-05-09	None	None	Münster
JU3136	False	MY2453			False	JU	20170531	48.7015000	2.1725000	65.7882	Rural garden	Rotting fruit	None	M.-A. Félix	M.-A. Félix	None	no date is provided	None	Saclay
MY2530	True	MY2530	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Compost	None	C. Petersen	C. Petersen	2012-12-05	None	None	Kiel
MY2344	False	MY2535	None		False	MY	20170531	51.9507230	7.5990990	64.6864	Rural garden	Compost	None	C. Petersen	C. Petersen	2012-10-24	None	None	Münster
MY2532	False	MY2535	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Compost	None	C. Petersen	C. Petersen	2012-12-05	None	None	Kiel
MY2535	True	MY2535	None		False	MY	20170531	51.9507230	7.5990990	64.6864	Rural garden	Compost	None	C. Petersen	C. Petersen	2012-12-05	None	None	Münster
MY881	False	MY2535	None		False	MY	20170531	51.9507230	7.5990990	64.6864	Rural garden	Compost	None	C. Petersen	C. Petersen	2011-12-01	None	None	Münster
NIC508	False	MY2535	NAP C3.1		False	NIC	20170531	40.8618300	14.2617560	43.6431	Botanical garden zoo	Flower	None	C. Braendle	C. Braendle	2013-11-14	None	None	Naples
NIC512	False	MY2535	NAP C12.1		False	NIC	20170531	40.8625000	14.2623855	40.0502	Botanical garden zoo	Fruit	None	C. Braendle	C. Braendle	2013-11-14	None	None	Naples
MY2142	False	MY2573	None		False	MY	20170531	51.9507230	7.5990990	64.6864	Rural garden	Isopod	None	C. Petersen	C. Petersen	2012-09-17	None	None	Münster
MY2144	False	MY2573	None		False	MY	20170531	51.9507230	7.5990990	64.6864	Rural garden	Compost	None	C. Petersen	C. Petersen	2012-09-17	None	None	Münster
MY2198	False	MY2573	None		False	MY	20170531	51.9507230	7.5990990	64.6864	Rural garden	Compost	None	C. Petersen	C. Petersen	2012-09-26	None	None	Münster
MY2208	False	MY2573	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Isopod	None	C. Petersen	C. Petersen	2012-09-26	None	None	Kiel
MY2224	False	MY2573	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Isopod	None	C. Petersen	C. Petersen	2012-09-26	None	None	Kiel
MY2282	False	MY2573	None		False	MY	20170531	51.9507230	7.5990990	64.6864	Rural garden	Compost	None	C. Petersen	C. Petersen	2012-10-10	None	None	Münster
MY2294	False	MY2573	None		False	MY	20170531	51.9507230	7.5990990	64.6864	Rural garden	Compost	None	C. Petersen	C. Petersen	2012-10-10	None	None	Münster
MY2338	False	MY2573	None		False	MY	20170531	51.9507230	7.5990990	64.6864	Rural garden	Compost	None	C. Petersen	C. Petersen	2012-10-24	None	None	Münster
MY2434	False	MY2573	None		False	MY	20170531	51.9507230	7.5990990	64.6864	Rural garden	Compost	None	C. Petersen	C. Petersen	2012-11-07	None	None	Münster
MY2443	False	MY2573	None		False	MY	20170531	51.9507230	7.5990990	64.6864	Rural garden	Compost	None	C. Petersen	C. Petersen	2012-11-07	None	None	Münster
MY2491	False	MY2573	None		False	MY	20170531	51.9507230	7.5990990	64.6864	Rural garden	Compost	None	C. Petersen	C. Petersen	2012-11-21	None	None	Münster
MY2573	True	MY2573	None		False	MY	20170531	51.9507230	7.5990990	64.6864	Rural garden	Compost	None	C. Petersen	C. Petersen	2012-12-10	None	None	Münster
MY559	False	MY2573	None		False	MY	20170531	51.9507230	7.5990990	64.6864	Rural garden	Slug	None	C. Petersen	C. Petersen	2011-09-09	None	None	Münster
MY579	False	MY2573	None		False	MY	20170531	51.9507230	7.5990990	64.6864	Rural garden	Compost	None	C. Petersen	C. Petersen	2011-09-09	None	None	Münster
MY710	False	MY2573	None		False	MY	20170531	51.9507230	7.5990990	64.6864	Rural garden	Compost	None	C. Petersen	C. Petersen	2011-10-12	None	None	Münster
MY934	False	MY2573	None		False	MY	20170531	51.9507230	7.5990990	64.6864	Rural garden	Compost	None	C. Petersen	C. Petersen	2012-01-25	None	None	Münster
MY2585	True	MY2585	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Compost	None	C. Petersen	C. Petersen	2012-12-10	None	None	Kiel
MY2623	False	MY2585	None		False	MY	20170531	54.3491000	10.1150500	20.723	Botanical garden zoo	Slug	None	C. Petersen	C. Petersen	2013-08-09	None	None	Kiel
MY2685	False	MY2693	None		False	MY	20170531	54.3491000	10.1150500	20.723	Botanical garden zoo	Isopod	None	M . Barg	M. Barg	2013-08-19	None	None	Kiel
MY2693	True	MY2693	None		False	MY	20170531	54.3491000	10.1150500	20.723	Botanical garden zoo	Slug	None	R. Hermann	R. Hermann	2013-08-15	None	None	Kiel
MY2719	False	MY2693	None		False	MY	20170531	54.3491000	10.1150500	20.723	Botanical garden zoo	Isopod	None	M. Barg	M. Barg	2013-09-05	None	None	Kiel
MY2635	False	MY2713	None		False	MY	20170531	54.3491000	10.1150500	20.723	Botanical garden zoo	Isopod	None	R. Hermann	R. Hermann	2013-08-23	None	None	Kiel
MY2679	False	MY2713	None		False	MY	20170531	54.3491000	10.1150500	20.723	Botanical garden zoo	Isopod	None	R. Hermann	R. Hermann	2013-09-04	None	None	Kiel
MY2689	False	MY2713	None		False	MY	20170531	54.3491000	10.1150500	20.723	Botanical garden zoo	Isopod	None	M . Barg	M. Barg	2013-08-21	None	None	Kiel
MY2713	True	MY2713	None		False	MY	20170531	54.3491000	10.1150500	20.723	Botanical garden zoo	Isopod	None	M. Barg	M. Barg	2013-09-03	None	None	Kiel
MY803	False	MY2713	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Compost	None	C. Petersen	C. Petersen	2011-11-03	None	None	Kiel
MY2109	False	MY2741	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Compost	None	C. Petersen	C. Petersen	2012-08-15	None	None	Kiel
MY2692	False	MY2741	None		False	MY	20170531	54.3491000	10.1150500	20.723	Botanical garden zoo	Isopod	None	R. Hermann	R. Hermann	2013-08-16	None	None	Kiel
MY2741	True	MY2741	None		False	MY	20170531	54.3491000	10.1150500	20.723	Botanical garden zoo	Slug	None	C. Petersen	C. Petersen	2014-09-01	None	None	Kiel
MY518	True	MY518	None		False	MY	20170531	51.9641540	7.6117190	60.3579	Botanical garden zoo	Compost	None	C. Petersen	C. Petersen	2011-07-08	None	None	Münster
MY679	True	MY679	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Compost	None	C. Petersen	C. Petersen	2011-09-27	None	None	Kiel
MY991	False	MY679	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Compost	None	C. Petersen	C. Petersen	2012-06-20	None	None	Kiel
MY772	True	MY772	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Compost	None	C. Petersen	C. Petersen	2011-09-27	None	None	Kiel
MY2099	False	MY795	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Isopod	None	C. Petersen	C. Petersen	2012-08-15	None	None	Kiel
MY538	False	MY795	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Rural garden	Slug	None	C. Petersen	C. Petersen	2011-08-25	None	None	Kiel
MY795	True	MY795	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Compost	None	C. Petersen	C. Petersen	2011-10-26	None	None	Kiel
MY2042	False	MY920	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Compost	None	C. Petersen	C. Petersen	2012-07-18	None	None	Kiel
MY2138	False	MY920	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Slug	None	C. Petersen	C. Petersen	2012-09-17	None	None	Kiel
MY2347	False	MY920	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Compost	None	C. Petersen	C. Petersen	2012-10-24	None	None	Kiel
MY2373	False	MY920	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Isopod	None	C. Petersen	C. Petersen	2012-10-24	None	None	Kiel
MY2406	False	MY920	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Compost	None	C. Petersen	C. Petersen	2012-10-24	None	None	Kiel
MY2688	False	MY920	None		False	MY	20170531	54.3491000	10.1150500	20.723	Botanical garden zoo	Slug	None	M . Barg	M. Barg	2013-08-21	None	None	Kiel
MY589	False	MY920	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Compost	None	C. Petersen	C. Petersen	2011-08-25	None	None	Kiel
MY741	False	MY920	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Compost	None	C. Petersen	C. Petersen	2011-10-10	None	None	Kiel
MY887	False	MY920	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Compost	None	C. Petersen	C. Petersen	2011-12-08	None	None	Kiel
MY920	True	MY920	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Compost	None	C. Petersen	C. Petersen	2012-01-18	None	None	Kiel
MY990	False	MY920	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Compost	None	C. Petersen	C. Petersen	2012-05-23	None	None	Kiel
CB3191	False	N2	GA1	N2 clone	False	CGC	20160408	None	None	None	Urban garden	Plant	None	C. Johnson	None	1973-06-01	only month/year is known (June 1973)	identical to N2	
CB3192	False	N2	GA2	N2 clone	False	CGC	20160408	None	None	None	Urban garden	Plant	None	C. Johnson	None	1973-06-01	only month/year is known (June 1973)	resembles N2	
CB3193	False	N2	GA3	N2 clone	False	CGC	20160408	None	None	None	Urban garden	Plant	None	C. Johnson	None	1973-06-01	only month/year is known (June 1973)	resembles N2	
CB3194	False	N2	GA4	N2 clone	False	CGC	20160408	None	None	None	Urban garden	Plant	None	C. Johnson	None	1973-06-01	only month/year is known (June 1973)	None	
CB3195	False	N2	GA5	N2 clone	False	CGC	20160408	None	None	None	Urban garden	Plant	None	C. Johnson	None	1973-11-01	only month/year is known (November 1973)	None	
CB4507	False	N2	None	N2 clone	False	CGC	20160408	None	None	None	None	None	None	None	None	None	None	None	
ECA244	False	N2	CB4851 (UK)|CB4851_UK|N62	N2 clone	False	CB	20160408	44.8500000	0.4800000	21.273	Urban garden	Soil	None	V. Nigon	V. Nigon	None	pre-1949	Isolated before 1949, kept in the laboratory of J. Brun for many years, N62 culture named and frozen by S. Brenner, same culture at RW7000. Tc1 pattern HCB.	Bergerac
ECA253	False	N2	N2 (CGC)|N2_CGC|N2		False	CGC	20160408	51.4500000	-2.5900000	12.5067	Urban garden	Compost	None	L. Staniland	W. Nicholas	1951-01-01	only year (1951) is known		Bristol
ECA254	False	N2	N2 Baer|N2_Baer|N2|N2Baer		False	CFB	20160408	51.4500000	-2.5900000	12.5067	Urban garden	Compost	None	L. Staniland	W. Nicholas	1951-01-01	only year (1951) is known		Bristol
ECA255	False	N2	N2 Baer duplicate #1|N2		False	CFB	20160408	51.4500000	-2.5900000	12.5067	Urban garden	Compost	None	None	W. Nicholas	1951-01-01	only year (1951) is known		Bristol
ECA257	False	N2	Kammenga N2 isolate|N2		False	WN	20160408	51.4500000	-2.5900000	12.5067	Urban garden	Compost	None	None	W. Nicholas	1951-01-01	only year (1951) is known		Bristol
N2	True	N2	N2 HRH|N2_HRH|N2		False	MT	20160408	51.4500000	-2.5900000	12.5067	Urban garden	Compost	None	W. Nicholas	W. Nicholas	1951-01-01	only year (1951) is known	Maintained by E.C. Dougherty in axenic media until sent to S. Brenner in 1964. Frozen in 1969.	Bristol
PX176	False	N2	None	N2 clone	False	CGC	20160408	None	None	None	None	None	None	None	None	None	None	Likely contaminated with N2	
TR388	False	N2	None	N2 clone	False	CGC	20160408	None	None	None	None	None	None	None	None	None	None	None	
TR389	False	N2	None	N2 clone	False	CGC	20160408	None	None	None	None	None	None	None	None	None	None	CB4856 version of glb-5	
NIC1	True	NIC1	None		False	NIC	20160408	43.2790000	5.3543000	13.2108	None	Rotting fruit	None	C. Braendle	C. Braendle	2008-09-14	None	None	Marseille
NIC1049	True	NIC1049	4		False	NIC	20170531	43.5935610	1.4503200	145.093	Botanical garden zoo	Compost	None	C. Braendle	C. Braendle	2014-10-14	None	None	Toulouse
NIC1107	True	NIC1107	1		False	NIC	20170531	43.7162780	7.2669350	41.4029	Botanical garden zoo	Fruit	None	C. Braendle	A. Vielle & P. Vigne	2014-11-25	None	None	Nice
NIC166	True	NIC166	None		False	NIC	20160408	46.7272200	6.8977500	687.175	Rural garden	Fruit	None	C. Braendle	C. Braendle	2007-07-27	None	None	Valbroye
NIC195	True	NIC195	None		False	NIC	20160408	38.5458740	-28.3732200	118.527	Rural garden	Fruit	None	D. Bourc’his & J. Dumont	D. Bourc’his & J. Dumont	2011-08-22	None	None	Santana
NIC196	False	NIC195	None		False	NIC	20160408	38.4716405	-28.2014900	17.4152	Rural garden	Fruit	None	D. Bourc’his & J. Dumont	D. Bourc’his & J. Dumont	2011-08-23	None	None	Prainha
NIC197	False	NIC195	None		False	NIC	20160408	38.3968200	-28.2516500	27.0043	Rural garden	Fruit	None	D. Bourc’his & J. Dumont	D. Bourc’his & J. Dumont	2011-08-23	None	None	Lajes Do Pico
NIC198	False	NIC195	None		False	NIC	20160408	39.4364016	-31.2384900	265.89	Rural garden	Nut	None	D. Bourc’his & J. Dumont	D. Bourc’his & J. Dumont	2011-08-29	None	None	None
